Zip,LatLong,Population
12508,"41.495996, -73.953632","19,487"
10925,"41.222743, -74.292681","4,986"
14450,"43.088447, -77.415761","40,748"
10994,"41.098072, -73.972649","6,493"
11747,"40.788528, -73.407298","16,152"
11953,"40.893285, -72.951799","12,364"
14051,"43.039886, -78.704186","17,991"
10913,"41.068258, -73.954975","5,076"
12603,"41.675868, -73.864484","41,667"
11716,"40.776697, -73.134857","10,360"
12182,"42.801006, -73.637646","14,104"
12803,"43.285467, -73.636150","7,394"
11764,"40.934197, -72.975160","11,120"
12084,"42.704563, -73.899429","4,214"
14228,"43.044371, -78.777335","19,713"
12045,"42.478837, -73.797553",746
10598,"41.286807, -73.798823","29,368"
14526,"43.151464, -77.444396","19,789"
11786,"40.944455, -72.886049","5,883"
12065,"42.854836, -73.787492","38,866"
13905,"42.173847, -75.936413","27,506"
13615,"44.007217, -75.979240","1,027"
12144,"42.627836, -73.717842","18,367"
14075,"42.713252, -78.833315","42,082"
10950,"41.317294, -74.197530","38,791"
10588,"41.316837, -73.829264","2,006"
14580,"43.217283, -77.444534","43,824"
10541,"41.377000, -73.753830","26,693"
14504,"42.967777, -77.233608","1,312"
11955,"40.809125, -72.816096","2,652"
14534,"43.056890, -77.521042","30,270"
13209,"43.087539, -76.255166","13,774"
10537,"41.355369, -73.879979","2,032"
11724,"40.856500, -73.452894","3,040"
14467,"43.043504, -77.618013","8,738"
12590,"41.592556, -73.886853","33,523"
13039,"43.161395, -76.075729","14,562"
12471,"41.848432, -74.036220",174
10589,"41.328630, -73.697168","7,363"
12054,"42.608547, -73.864416","16,421"
10514,"41.172330, -73.768948","12,004"
10510,"41.138997, -73.834891","9,963"
13760,"42.133387, -76.084713","43,954"
11970,"40.940660, -72.573108",319
11042,"40.758295, -73.697102",513
13461,"43.077098, -75.587609","3,179"
10520,"41.217976, -73.874882","12,590"
14085,"42.716594, -78.930821","5,565"
11771,"40.865967, -73.525877","9,550"
12180,"42.748588, -73.599536","52,907"
14134,"42.534609, -78.521861",16
10535,"41.335169, -73.793919",416
12411,"41.878105, -74.038886",382
12449,"41.997728, -73.992872","3,557"
11560,"40.880757, -73.588724","6,815"
11946,"40.881714, -72.536582","12,802"
11944,"41.106515, -72.369487","3,705"
10507,"41.232590, -73.692641","7,646"
10962,"41.050504, -73.960154","5,580"
